Date,GC=F,GBPUSD=X,HG=F,CL=F,^GSPC
1927-12-31,,,,,17.65999984741211
1928-01-31,,,,,17.519999821980793
1928-02-29,,,,,17.32421071905839
1928-03-31,,,,,18.233181780034844
1928-04-30,,,,,19.371000003814697
1928-05-31,,,,,20.004090916026723
1928-06-30,,,,,18.985238029843284
1928-07-31,,,,,19.155714307512557
1928-08-31,,,,,19.793478343797766
1928-09-30,,,,,21.173157742148952
1928-10-31,,,,,21.600454590537332
1928-11-30,,,,,23.09900007247925
1928-12-31,,,,,23.144500064849854
1929-01-31,,,,,24.865000117908824
1929-02-28,,,,,24.992777824401855
1929-03-31,,,,,25.40050001144409
1929-04-30,,,,,25.268636270002887
1929-05-31,,,,,25.609545621004973
1929-06-30,,,,,26.14650011062622
1929-07-31,,,,,28.460909149863504
1929-08-31,,,,,30.119090860540215
1929-09-30,,,,,31.304499912261964
1929-10-31,,,,,27.991304397583008
1929-11-30,,,,,20.581764894373276
1929-12-31,,,,,21.38857142130534
1930-01-31,,,,,21.716363646767356
1930-02-28,,,,,23.076315829628392
1930-03-31,,,,,23.90904780796596
1930-04-30,,,,,25.430952435448056
1930-05-31,,,,,23.954761868431454
1930-06-30,,,,,21.60047621954055
1930-07-31,,,,,21.018181627446953
1930-08-31,,,,,20.800476255871
1930-09-30,,,,,20.770000003633044
1930-10-31,,,,,17.92954548922452
1930-11-30,,,,,16.588333235846626
1930-12-31,,,,,15.545909057963978
1931-01-31,,,,,15.920952297392345
1931-02-28,,,,,17.163333257039387
1931-03-31,,,,,17.538181825117633
1931-04-30,,,,,15.83000001453218
1931-05-31,,,,,14.286666597638812
1931-06-30,,,,,13.836818174882369
1931-07-31,,,,,14.347391294396441
1931-08-31,,,,,13.886666752043224
1931-09-30,,,,,11.890000070844378
1931-10-31,,,,,10.219047546386719
1931-11-30,,,,,10.42473682604338
1931-12-31,,,,,8.4127273126082
1932-01-31,,,,,8.325499963760375
1932-02-29,,,,,8.202105321382222
1932-03-31,,,,,8.250454620881515
1932-04-30,,,,,6.269523847670782
1932-05-31,,,,,5.522380942390079
1932-06-30,,,,,4.74500001560558
1932-07-31,,,,,4.974499988555908
1932-08-31,,,,,7.5160869930101475
1932-09-30,,,,,8.22047624133882
1932-10-31,,,,,7.105500054359436
1932-11-30,,,,,7.019500017166138
1932-12-31,,,,,6.824285711560931
1933-01-31,,,,,7.0880952562604636
1933-02-28,,,,,6.250000052981907
1933-03-31,,,,,6.2012500166893005
1933-04-30,,,,,6.870526288685046
1933-05-31,,,,,8.869090860540217
1933-06-30,,,,,10.422727324745871
1933-07-31,,,,,11.238500022888184
1933-08-31,,,,,10.671304371045983
1933-09-30,,,,,10.59699993133545
1933-10-31,,,,,9.557142802647181
1933-11-30,,,,,9.76399998664856
1933-12-31,,,,,9.963999938964843
1934-01-31,,,,,10.559999986128373
1934-02-28,,,,,11.322777801089817
1934-03-31,,,,,10.72571427481515
1934-04-30,,,,,10.912857101077126
1934-05-31,,,,,9.815454569729892
1934-06-30,,,,,9.941428502400717
1934-07-31,,,,,9.459047589983259
1934-08-31,,,,,9.1026087221892
1934-09-30,,,,,8.863157975046258
1934-10-31,,,,,8.949545426802201
1934-11-30,,,,,9.192631721496582
1934-12-31,,,,,9.248499965667724
1935-01-31,,,,,9.248636332425205
1935-02-28,,,,,8.971666759914822
1935-03-31,,,,,8.39142858414423
1935-04-30,,,,,8.974761781238374
1935-05-31,,,,,9.707727258855646
1935-06-30,,,,,10.121999931335449
1935-07-31,,,,,10.653636412187057
1935-08-31,,,,,11.319545485756613
1935-09-30,,,,,11.605000019073486
1935-10-31,,,,,11.897391319274902
1935-11-30,,,,,13.046111106872559
1935-12-31,,,,,13.072380974179222
1936-01-31,,,,,13.769545511765914
1936-02-29,,,,,14.56789473483437
1936-03-31,,,,,14.859090978449041
1936-04-30,,,,,14.845714296613421
1936-05-31,,,,,14.088571366809663
1936-06-30,,,,,14.693636417388916
1936-07-31,,,,,15.533913156260615
1936-08-31,,,,,15.866666702997117
1936-09-30,,,,,16.01047620319185
1936-10-31,,,,,16.86809539794922
1936-11-30,,,,,17.352222124735516
1936-12-31,,,,,17.069090929898348
1937-01-31,,,,,17.578999996185303
1937-02-28,,,,,18.090555402967667
1937-03-31,,,,,18.09136356006969
1937-04-30,,,,,17.001818136735395
1937-05-31,,,,,16.23499999046326
1937-06-30,,,,,15.640454639088023
1937-07-31,,,,,16.542381014142716
1937-08-31,,,,,16.74000007455999
1937-09-30,,,,,14.37761892591204
1937-10-31,,,,,12.253500175476074
1937-11-30,,,,,11.185263181987562
1937-12-31,,,,,10.992173982703168
1938-01-31,,,,,11.313333284287225
1938-02-28,,,,,11.014736928437886
1938-03-31,,,,,10.307391332543414
1938-04-30,,,,,9.849999952316285
1938-05-31,,,,,9.969523929414295
1938-06-30,,,,,10.229090864008123
1938-07-31,,,,,12.234499979019166
1938-08-31,,,,,12.298695730126422
1938-09-30,,,,,11.763809567406064
1938-10-31,,,,,13.109499979019166
1938-11-30,,,,,13.054736890290913
1938-12-31,,,,,12.675714265732537
1939-01-31,,,,,12.509523755028134
1939-02-28,,,,,12.378888765970865
1939-03-31,,,,,12.366521710934846
1939-04-30,,,,,10.820526323820415
1939-05-31,,,,,11.222727212038906
1939-06-30,,,,,11.41500000520186
1939-07-31,,,,,11.731000089645386
1939-08-31,,,,,11.533043405284053
1939-09-30,,,,,12.807499933242799
1939-10-31,,,,,12.904285703386579
1939-11-30,,,,,12.656999969482422
1939-12-31,,,,,12.357499933242797
